player1,player2,win_probability_p1,actual_outcome
Marchuk M.,Polysynskyi M.,0.5,1
Sokolov S.,Sachuk S.,0.5,0
Samofal Y.,Bambutsa R.,0.5,1
Kyilo V.,Chernyshov D.,0.5,1
Polysynskyi M.,Kostiuk B.,0.477,1
Sachuk S.,Diachenko M.,0.523,0
Balakiriev M.,Marchuk M.,0.477,1
Hryshchenko O.,Sokolov S.,0.523,1
Samofal Y.,Polysynskyi M.,0.5219,0
Kyilo V.,Sachuk S.,0.5241,0
Marchuk M.,Bambutsa R.,0.5219,1
Sokolov S.,Chernyshov D.,0.4781,1
Balakiriev M.,Kostiuk B.,0.548,1
Hryshchenko O.,Diachenko M.,0.4979,1
Samofal Y.,Marchuk M.,0.4781,0
Kyilo V.,Sokolov S.,0.5198,0
Balakiriev M.,Polysynskyi M.,0.5198,1
Hryshchenko O.,Sachuk S.,0.522,1
Bambutsa R.,Kostiuk B.,0.4999,1
Chernyshov D.,Diachenko M.,0.4521,0
Samofal Y.,Balakiriev M.,0.4109,1
Kyilo V.,Hryshchenko O.,0.4089,1
Marchuk M.,Kostiuk B.,0.6091,1
Sokolov S.,Diachenko M.,0.4812,0
Baday M.,Tupyk M.,0.5,1
Polysynskyi M.,Bambutsa R.,0.525,1
Lutskyi V.,Maltsev D.,0.5,1
Hordiichuk O.,Kuzmych V.,0.5,1
Sachuk S.,Chernyshov D.,0.5685,1
Sedin V.,Zaitsev O.,0.5,0
Vons V.,Daragan S.,0.5,1
Torba R.,Nikolenko S.,0.5,0
Fedoryshyn I.,Tupyk M.,0.523,1
Stukalov V.,Yurenev O.,0.5,1
Skripnik S.,Mishchenko V.,0.5,0
Fylypiv R.,Slozka M.,0.5,1
Romanenko I.,Semipeadnii V.,0.5,0
Rak S.,Nakliutskyi A.,0.5,1
Baday M.,Sedin V.,0.5459,1
Yakubov M.,Ponomarenko O.,0.5,0
Kolbasenko O.,Mrykh M.,0.5,1
Lutskyi V.,Daragan S.,0.5459,1
Mul S.,Lipkan D.,0.5,1
Turek T.,Marko J.,0.5,0
Hordiichuk O.,Nikolenko S.,0.5,0
Masko Y.,Cherevko R.,0.5,0
Fedoryshyn I.,Zaitsev O.,0.4989,0
Tsoi K.,Kunchurov D.,0.5,0
Sklyarenko A.,Nadporozhskyi O.,0.5,1
Hrstka T.,Brozek M.,0.5,0
Dubrovin V.,Shkepu S.,0.5,1
Mikus D.,Papirnik O.,0.5,1
Slozka M.,Maltsev D.,0.5,1
Melnik V.,Horbanenko O.,0.5,0
Nakliutskyi A.,Kuzmych V.,0.5,1
Sedin V.,Tupyk M.,0.5011,1
Stukalov V.,Ponomarenko O.,0.5,1
Skripnik S.,Mrykh M.,0.5,0
Lukes T.,Herink J.,0.5,0
Cechvala R.,Zachar M.,0.5,0
Romanenko I.,Lipkan D.,0.5,1
Vons V.,Fylypiv R.,0.5,1
Torba R.,Rak S.,0.4541,1
Zemiantsev S.,Baranovskiy S.,0.5,0
Baday M.,Zaitsev O.,0.4979,1
Kunchurov D.,Yurenev O.,0.5459,1
Nadporozhskyi O.,Mishchenko V.,0.4541,0
Hrstka T.,Herink J.,0.4541,0
Lutskyi V.,Slozka M.,0.5438,1
Shkepu S.,Semipeadnii V.,0.4541,1
Turek T.,Papirnik O.,0.5,0
Hordiichuk O.,Nakliutskyi A.,0.5,1
Masko Y.,Horbanenko O.,0.4541,1
Fedoryshyn I.,Sedin V.,0.5199,1
Yakubov M.,Tsoi K.,0.5,1
Kolbasenko O.,Sklyarenko A.,0.5,0
Lukes T.,Brozek M.,0.4541,1
Fylypiv R.,Daragan S.,0.5438,1
Mul S.,Dubrovin V.,0.5,1
Zachar M.,Marko J.,0.5,0
Baranovskiy S.,Cherevko R.,0.5,1
Rak S.,Nikolenko S.,0.452,1
Stukalov V.,Kunchurov D.,0.5021,0
Zaitsev O.,Tupyk M.,0.5899,0
Skripnik S.,Nadporozhskyi O.,0.4979,1
Hrstka T.,Lukes T.,0.4541,1
Mikus D.,Cechvala R.,0.5459,0
Romanenko I.,Shkepu S.,0.4979,1
Vons V.,Maltsev D.,0.5911,0
Melnik V.,Zemiantsev S.,0.5,0
Torba R.,Kuzmych V.,0.548,1
Fedoryshyn I.,Baday M.,0.4541,0
Sklyarenko A.,Mrykh M.,0.5459,1
Tsoi K.,Ponomarenko O.,0.4541,0
Herink J.,Brozek M.,0.5459,1
Dubrovin V.,Lipkan D.,0.5459,1
Lutskyi V.,Fylypiv R.,0.5438,0
Turek T.,Zachar M.,0.4541,1
Hordiichuk O.,Rak S.,0.4999,0
Masko Y.,Baranovskiy S.,0.4562,1
Sedin V.,Fedoryshyn I.,0.4569,1
Yakubov M.,Yurenev O.,0.5438,0
Kolbasenko O.,Mishchenko V.,0.4562,1
Brozek M.,Hrstka T.,0.4958,1
Cechvala R.,Papirnik O.,0.5021,1
Mul S.,Semipeadnii V.,0.548,1
Vons V.,Slozka M.,0.5398,1
Torba R.,Nakliutskyi A.,0.5458,1
Zemiantsev S.,Horbanenko O.,0.5021,1
Stukalov V.,Tsoi K.,0.5889,1
Zaitsev O.,Baday M.,0.4088,0
Skripnik S.,Sklyarenko A.,0.4111,0
Daragan S.,Maltsev D.,0.454,0
